episode,loss
1,0.16557892844080918
2,0.17819670483469968
3,0.15907023668289186
4,0.09788965612649919
5,0.06563824605196712
6,0.054589877352118475
7,0.06171910740435125
8,0.04449348207563163
9,0.04212812013924122
10,0.03964031517505645
11,0.0417728428915143
12,0.047386255674064154
13,0.04389849312603473
14,0.039795291908085346
15,0.03841549135744573
16,0.04365233559161424
17,0.041421234868466855
18,0.041009420417249205
19,0.04139964051544668
20,0.03872648160904645
21,0.0413396643474698
22,0.04395691564306617
23,0.040485451482236395
24,0.04232385177165271
25,0.03544137740507722
26,0.047214674726128565
27,0.05482195034623146
28,0.038784666322171694
29,0.03660791270434855
30,0.04330212622880936
31,0.045564956068992614
32,0.037906990312039854
33,0.04191099211573601
34,0.03891558717936278
35,0.03760178137570619
36,0.044481008835136886
37,0.04196421470493078
38,0.04095579445362092
39,0.03806725677102803
40,0.046614185795187946
41,0.038990759141743186
42,0.03417806528508665
43,0.04632335040718316
44,0.03625193012878299
45,0.03841576777398586
46,0.03957522317767145
47,0.03817999463528395
48,0.040145757012069225
49,0.03893866002559661
50,0.03555425629019736
51,0.042946061305701735
52,0.04075861353427171
53,0.038348837960511445
54,0.03984413141384721
55,0.040870836488902565
56,0.03871060766279697
57,0.03894399736076594
58,0.03512393195182085
59,0.04496047742664814
60,0.032387987338006505
61,0.036859916932880876
62,0.035531075149774556
63,0.042109879069030264
64,0.040158425047993655
65,0.041459483914077264
66,0.03798265978693962
67,0.04647638466209173
68,0.03706777460873126
69,0.038249419890344166
70,0.03677628494799137
71,0.037945220097899426
72,0.0335895973443985
73,0.03998954426497222
74,0.036208922378718846
75,0.032036791015416385
76,0.03607965502887964
77,0.03934960708022118
78,0.03420528827235103
79,0.03473195895552635
80,0.041038728114217514
81,0.03878994602710007
82,0.032001861836761236
83,0.03472710076719522
84,0.028958321753889328
85,0.038522419594228266
86,0.027682528188452127
87,0.029269242901355033
88,0.03596416195854544
89,0.03618645597249269
90,0.03865983132272958
91,0.031404585428535935
92,0.03267631312832235
93,0.033476104903966186
94,0.030725116524845365
95,0.03625366713851689
96,0.0371311631053686
97,0.029728046748787162
98,0.031357736941426996
99,0.03139919754117726
100,0.03386694019660355
