epochs,loss,rewards
1,0.2345864474773407,-0.40341167898725216
2,0.22252075374126434,-0.33948986934914305
3,0.2702901363372803,-0.4100599462580864
4,0.26287904381752014,-0.33424605711340005
5,0.245748370885849,-0.3728126466683892
6,0.2370716631412506,-0.3952840392329577
7,0.24537944793701172,-0.36486623476355867
8,0.2162591516971588,-0.37866990660080774
9,0.2559618353843689,-0.4250818723232338
10,0.20628556609153748,-0.40025950668736926
11,0.18378494679927826,-0.40511265262724067
12,0.20941923558712006,-0.3373946125280712
13,0.14310882985591888,-0.3589298028730723
14,0.2327665388584137,-0.3996225263390237
15,0.09752153605222702,-0.3392541757074827
16,0.16494053602218628,-0.34332524664968533
17,0.1549011468887329,-0.41022875787195084
18,0.1405179649591446,-0.33098964089410304
19,0.18875569105148315,-0.36106915295881264
20,0.21185018122196198,-0.3529858528884944
21,0.13429732620716095,-0.3505574981310454
22,0.1533866673707962,-0.3358872863758351
23,0.2845276892185211,-0.33228795027882263
24,0.10220055282115936,-0.35438798077401784
25,0.11099903285503387,-0.3699848307002347
26,0.18367263674736023,-0.34354540331088496
27,0.12821413576602936,-0.38261210935580153
28,0.12841123342514038,-0.3448087258562229
29,0.12273888289928436,-0.379582080386549
30,0.11608576029539108,-0.3133663874158333
31,0.12997034192085266,-0.36200981281933603
32,0.13244400918483734,-0.3183954425911377
33,0.1432589441537857,-0.3541371324448349
34,0.15672928094863892,-0.34359162946332084
35,0.1774967610836029,-0.3213514521501007
36,0.24121640622615814,-0.2849519986191651
37,0.10472066700458527,-0.29464899928340693
38,0.10861920565366745,-0.2898791195396109
39,0.14144763350486755,-0.3122729423514759
40,0.12901581823825836,-0.24010581106566298
41,0.06868918240070343,-0.3272660032314247
42,0.07867918163537979,-0.29188092257932047
43,0.05638761818408966,-0.286274703891018
44,0.12457301467657089,-0.2236183613438331
45,0.04534818232059479,-0.3019606260828109
46,0.10891140252351761,-0.2621098245691991
47,0.06489185988903046,-0.2974420055966279
48,0.11805105954408646,-0.25259539304660145
49,0.17315015196800232,-0.2712349304168853
50,0.09238545596599579,-0.3087354428972104
51,0.041413478553295135,-0.3245851541009726
52,0.074722521007061,-0.2407618453175419
53,0.10400442779064178,-0.2695622249116996
54,0.09495732188224792,-0.26605963554754103
55,0.03916934132575989,-0.3377274638281109
56,0.07956771552562714,-0.2917790366939647
57,0.1074443832039833,-0.21181975601106953
58,0.09093431383371353,-0.24179615022587295
59,0.09688887000083923,-0.22516880475343265
60,0.13833759725093842,-0.23340466230805174
61,0.11965575814247131,-0.24881701161682593
62,0.10967343300580978,-0.2723585037828562
63,0.13263505697250366,-0.2977781258330422
64,0.052243899554014206,-0.2682992242574176
65,0.10766515135765076,-0.18723904073189723
66,0.09768440574407578,-0.26749848624185535
67,0.116346076130867,-0.23686138007145557
68,0.05499693751335144,-0.287730276710737
69,0.03964954987168312,-0.31615381861152697
70,0.09021090716123581,-0.27262318325450974
71,0.0794595405459404,-0.2503153008628784
72,0.11744241416454315,-0.21462370318584562
73,0.08621416985988617,-0.25392816048987016
74,0.052923183888196945,-0.27226611537006185
75,0.10159257054328918,-0.22512679862108917
76,0.027454691007733345,-0.247815524607989
77,0.11332834511995316,-0.26332681096835925
78,0.0732906311750412,-0.2138700318788061
79,0.07901403307914734,-0.23797535544598142
80,0.09079482406377792,-0.21985387241696955
81,0.14728443324565887,-0.2223690381607009
82,0.11215243488550186,-0.21565371742844922
83,0.100242979824543,-0.2671341750612865
84,0.07414808124303818,-0.2331751831286471
85,0.06092849373817444,-0.20344211508040794
86,0.12145580351352692,-0.13334674206019764
87,0.07121333479881287,-0.2591442337066714
88,0.04988022893667221,-0.2268313885637099
89,0.05506715178489685,-0.2426723618318735
90,0.14308728277683258,-0.22309744375197543
91,0.060445722192525864,-0.23819359138349952
92,0.10833755135536194,-0.19932848402171807
93,0.11769478768110275,-0.14662868930128584
94,0.10968784242868423,-0.15694070980082137
95,0.11874771118164062,-0.232375924807359
96,0.03484642878174782,-0.25950572556194174
97,0.060563474893569946,-0.21703383851407193
98,0.028063807636499405,-0.27945068888966473
99,0.052177611738443375,-0.134999758549689
100,0.04083478823304176,-0.23946585421426878
101,0.07019074261188507,-0.22694774448932134
102,0.05945379659533501,-0.20072641745953468
103,0.03248100355267525,-0.24649535760218322
104,0.06279542297124863,-0.26209762446271184
105,0.086874820291996,-0.19741728444251372
106,0.06405612826347351,-0.2280322819351232
107,0.05276012793183327,-0.23448707911853112
108,0.07833079993724823,-0.1699250827965484
109,0.07083181291818619,-0.23946376644424333
110,0.07979751378297806,-0.18817243956578417
111,0.08261629939079285,-0.19068757207161496
112,0.06852518022060394,-0.15569045833724282
113,0.06578807532787323,-0.2400531437570184
114,0.025866424664855003,-0.21480012111950622
115,0.06317233294248581,-0.21338956006915644
116,0.132168248295784,-0.1452956679332967
117,0.05437152460217476,-0.16755562488142192
118,0.04640943557024002,-0.18617905165238838
119,0.06309054046869278,-0.1697617518653227
120,0.10193230956792831,-0.1475960707003888
121,0.08258785307407379,-0.16717893890216706
122,0.0982680693268776,-0.13000470213482
123,0.09203153848648071,-0.18481268809778306
124,0.06266096234321594,-0.13024775071121816
125,0.11385813355445862,-0.1358052498058116
126,0.0777721181511879,-0.10196764064102994
127,0.1319100558757782,-0.15021773996889679
128,0.1115739569067955,-0.12595757503687594
129,0.13106675446033478,-0.1317794312137086
130,0.11375004053115845,-0.1148413339140891
131,0.15337583422660828,-0.1225154100244637
