timestamp	step	loss
1646558615885	0	0.03610902547836304
1646558616111	1	0.03458947420120239
1646558616339	2	0.03309937238693237
1646558616565	3	0.027196788787841798
1646558616797	4	0.030806009769439698
1646558617042	5	0.031102573871612547
1646558617272	6	0.0279022479057312
1646558617506	7	0.026250574588775635
1646558617757	8	0.026702277660369873
1646558618000	9	0.028243837356567384
1646558618233	10	0.025191118717193605
1646558618464	11	0.024097111225128174
1646558618697	12	0.025055928230285643
1646558618929	13	0.025461795330047606
1646558619162	14	0.022176671028137206
1646558619393	15	0.02234409809112549
1646558619629	16	0.021401581764221193
1646558619878	17	0.02173586845397949
1646558620128	18	0.020956568717956543
1646558620361	19	0.02202586889266968
1646558620611	20	0.01999743103981018
1646558620864	21	0.018793537616729736
1646558621120	22	0.019819409847259523
1646558621362	23	0.01944793701171875
1646558621601	24	0.01604901671409607
1646558621850	25	0.017935564517974855
1646558622089	26	0.017595850229263306
1646558622328	27	0.015367381572723389
1646558622568	28	0.01566168189048767
1646558622812	29	0.017919857501983643
1646558623072	30	0.015174351930618286
1646558623312	31	0.013418353796005249
1646558623551	32	0.013141820430755615
1646558623793	33	0.011569746732711793
1646558624052	34	0.010794216394424438
1646558624291	35	0.010784344673156738
1646558624530	36	0.010616742372512818
1646558624794	37	0.010210071802139281
1646558625068	38	0.011338653564453125
1646558625340	39	0.01056793212890625
1646558625606	40	0.010415767431259155
1646558625875	41	0.009440473318099975
1646558626113	42	0.010010840892791749
1646558626362	43	0.008739267587661742
1646558626618	44	0.00937125325202942
1646558626858	45	0.009928035140037537
1646558627097	46	0.008385422825813293
1646558627355	47	0.006502243280410766
1646558627593	48	0.006448916792869568
1646558627832	49	0.007678294777870178
1646558628090	50	0.008638719320297241
1646558628352	51	0.011510723829269409
1646558628609	52	0.00842459499835968
1646558628848	53	0.0087869131565094
1646558629103	54	0.009830442667007446
1646558629343	55	0.009461139440536498
1646558629588	56	0.007917462587356568
1646558629833	57	0.009703450202941895
1646558630087	58	0.012120908498764038
1646558630332	59	0.009841867089271546
1646558630578	60	0.010659548044204712
1646558630819	61	0.009771963953971863
1646558631062	62	0.01111365556716919
1646558631302	63	0.010568675994873046
1646558631541	64	0.010066434144973754
1646558631781	65	0.011168081760406495
1646558632018	66	0.011212900876998902
1646558632257	67	0.012645270824432373
1646558632497	68	0.012487010955810547
1646558632770	69	0.012818416357040405
1646558633018	70	0.00997626304626465
1646558633258	71	0.009225510358810425
1646558633498	72	0.009786819815635681
1646558633740	73	0.00819862723350525
1646558634006	74	0.007914324402809142
1646558634246	75	0.008958780765533447
1646558634484	76	0.008552729487419128
1646558634725	77	0.007563258409500122
1646558634965	78	0.00951307475566864
1646558635204	79	0.008318914771080018
1646558635449	80	0.007743016481399536
1646558635688	81	0.008105741739273071
1646558635956	82	0.010780761241912842
1646558636212	83	0.008204272985458373
1646558636495	84	0.009628884196281433
1646558636736	85	0.006886881589889526
1646558636995	86	0.008169599175453186
1646558637258	87	0.008444482684135437
1646558637497	88	0.007000986337661743
1646558637758	89	0.008853462934494018
1646558638016	90	0.008952274322509765
1646558638255	91	0.0094547700881958
1646558638495	92	0.009177220463752746
1646558638735	93	0.009224280714988708
1646558638984	94	0.007526472806930542
1646558639240	95	0.010919113159179688
1646558639510	96	0.0070820778608322145
1646558639750	97	0.008598784804344178
1646558640010	98	0.008861542344093323
1646558640249	99	0.008826496601104737
