episode,rewards
1,-0.41200000000000003
2,-0.017999999999999988
3,0.2905
4,0.40349999999999997
5,0.409
6,0.40349999999999997
7,0.425
8,0.402
9,0.42700000000000005
10,0.4125
11,0.42200000000000004
12,0.4640000000000001
13,0.4275
14,0.44650000000000006
15,0.43599999999999994
16,0.47700000000000004
17,0.417
18,0.40950000000000003
19,0.44699999999999995
20,0.41650000000000004
21,0.4585
22,0.4465
23,0.4235
24,0.41
25,0.41450000000000004
26,0.4705
27,0.4265
28,0.463
29,0.47300000000000003
30,0.4205
31,0.38549999999999995
32,0.4425
33,0.42700000000000005
34,0.402
35,0.405
36,0.42950000000000005
37,0.415
38,0.386
39,0.467
40,0.446
41,0.461
42,0.40399999999999997
43,0.4395
44,0.4315
45,0.4445
46,0.4635
47,0.42050000000000004
48,0.40049999999999997
49,0.46
50,0.45799999999999996
51,0.3765
52,0.4575
53,0.491
54,0.466
55,0.457
56,0.4445
57,0.408
58,0.47300000000000003
59,0.47
60,0.44549999999999995
61,0.4684999999999999
62,0.47100000000000003
63,0.4375
64,0.41450000000000004
65,0.418
66,0.446
67,0.44400000000000006
68,0.4595
69,0.45899999999999996
70,0.439
71,0.442
72,0.38049999999999995
73,0.43450000000000005
74,0.4215
75,0.41400000000000003
76,0.4595
77,0.435
78,0.4025
79,0.426
80,0.48900000000000005
81,0.4095
82,0.4685
83,0.4425
84,0.39849999999999997
85,0.4575
86,0.37349999999999994
87,0.439
88,0.46399999999999997
89,0.3875
90,0.40149999999999997
91,0.413
92,0.49150000000000005
93,0.451
94,0.47200000000000003
95,0.44
96,0.4515
97,0.4475
98,0.46549999999999997
99,0.405
100,0.41200000000000003
