episode,rewards
1,-0.319
2,0.42400000000000004
3,0.47
4,0.401
5,0.4215
6,0.4795
7,0.38900000000000007
8,0.4255
9,0.48400000000000004
10,0.42149999999999993
11,0.39349999999999996
12,0.47
13,0.436
14,0.43799999999999994
15,0.424
16,0.48450000000000004
17,0.4195
18,0.4625
19,0.4155
20,0.4255
21,0.37900000000000006
22,0.41900000000000004
23,0.4109999999999999
24,0.441
25,0.43
26,0.45150000000000007
27,0.441
28,0.413
29,0.4205
30,0.45400000000000007
31,0.466
32,0.44549999999999995
33,0.47600000000000003
34,0.3975
35,0.45399999999999996
36,0.37849999999999995
37,0.4905
38,0.45399999999999996
39,0.45649999999999996
40,0.425
41,0.389
42,0.4275
43,0.43
44,0.48150000000000004
45,0.418
46,0.4395
47,0.40349999999999997
48,0.474
49,0.41450000000000004
50,0.44800000000000006
51,0.429
52,0.44099999999999995
53,0.4255
54,0.40099999999999997
55,0.4275
56,0.4155
57,0.39149999999999996
58,0.43949999999999995
59,0.417
60,0.419
61,0.444
62,0.42950000000000005
63,0.42149999999999993
64,0.48450000000000004
65,0.44799999999999995
66,0.48100000000000004
67,0.4435
68,0.419
69,0.436
70,0.4375
71,0.444
72,0.47950000000000004
73,0.4095
74,0.4315
75,0.4275
76,0.44299999999999995
77,0.44349999999999995
78,0.4640000000000001
79,0.44949999999999996
80,0.423
81,0.4575
82,0.47200000000000003
83,0.4640000000000001
84,0.44349999999999995
85,0.434
86,0.441
87,0.456
88,0.45899999999999996
89,0.38299999999999995
90,0.377
91,0.466
92,0.43349999999999994
93,0.42300000000000004
94,0.45400000000000007
95,0.45599999999999996
96,0.467
97,0.434
98,0.43349999999999994
99,0.4315
100,0.40950000000000003
